"Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title",,,,,
"	""	""
Champion Crab Races Day""	""02/17/2014""		""Gather-up everyone you know and race your friends on your hands and knees",,,,,
"	""	""
National Battery Day""	""02/18/2014""		""clean out that draw full of batteries", test-em, recharge-em, or send them to the recycler,,
"	""	""
International Mother Language Day""	""02/21/2014""		""Speak only in your native tongue today",,,,,
"	""	""
Thinking Day""	""02/22/2014""		""Spend sometime today and ponder life",,,,,
"	""	""
National Dog Biscuit Day""	""02/23/2014""		""Not for you", but for the dog,,,,
"	""	""
Go Bowling Day""	""02/25/2014""		""Practice that 7-10 split today",,,,,
"	""	""
International Very Good Looking Smart People Day""	""02/26/2014""		""""	""""	""""",,,,,
"National Pistachio Day	""02/26/2014""		""Go nuts today eating pistachios",,,,,
"	""	""
International Polar Bear Day""	""02/27/2014""		""If you're a polar bear", you know what to do,,,,
"	""	""
Public Sleeping Day""	""02/28/2014""		""A public holiday devoted to sleeping",,,,,
"	""	""
National Surf and Turf Day""	""03/01/2014""		""This only happens every fourth year", so enjoy the surf and the turf,,,,
"	""	""
International Day of the Seal""	""03/01/2014""		""""	""""	""""",,,,,
"National Pig Day	""03/01/2014""		""Think Pig today",,,,,
"	""	""
Old Stuff Day""	""03/02/2014""		""Dig out some old stuff today and reminisce",,,,,
"	""	""
What if Cats and Dogs has opposable Thumbs day""	""03/03/2014""		""We're all introuble!",,,,,
"	""	""
Bridge Players Day""	""03/05/2014""		""Get out the cards and play some Bridge. If you don't know how to play", then today is your chance to learn.,,,,
"	""	""
International Book Day""	""03/06/2014""		""Start reading a book today.",,,,,
"	""	""
National Frozen Food Day""	""03/06/2014""		""don't plan on cooking today", just defrost.,,,,
"	""	""
Namesake Day""	""03/07/2014""		""Search out someone with the same name as you", and if that's too hard, try for initials,,,
"	""	""
Farmer's Day""	""03/08/2014""		""If you are a farmer", today is your day,,,,
"	""	""
Unique Names Day""	""03/09/2014""		""Give yourself a unique name today",,,,,
"	""	""
International Day of Awesomeness""	""03/10/2014""		""No one's perfect", but everyone can be awesome.,,,,
"	""	""
Raven Legend Day""	""03/10/2014""		""""	""""	""""",,,,,
"Johnny Appleseed Day	""03/11/2014""		""Eat an apple or plan an apple seed for one of america's greatest folk legends.",,,,,
"	""	""
Nametag Day""	""03/11/2014""		""Put on a nametag today and write any name you want on it",,,,,
"	""	""
World Plumbing Day""	""03/11/2014""		""Get under the sink and fix those u-bends today.",,,,,
"	""	""
Middle Name Pride Day""	""03/12/2014""		""Take pride in your middle name and if you don't have one", make one up,,,,
"	""	""
Genealogy Day""	""03/13/2014""		""Take some time out and remember your ancestors",,,,,
"	""	""
National Open An Umbrella Indoors Day""	""03/13/2014""		""It is not bad luck to open an Umbrella indoors", as long as its today,,,,
"	""	""
National Potato Chip Day""	""03/14/2014""		""Wonder in awe of the variety of flavours of potato chips",,,,,
"	""	""
Pi Day""	""03/14/2014""		""The 3rd month and 14th day", celebrate Pi,,,,
"	""	""
Brutus Day""	""03/15/2014""		""Beware of the Ides of march",,,,,
"	""	""
Buzzard Day""	""03/16/2014""		""""	""""	""""",,,,,
"National Artichoke Hearts Day	""03/16/2014""		""Everyday is for the Artichoke", but today is just for its heart,,,,
"	""	""
Submarine Day""	""03/17/2014""		""You could start to read 20",000 leagues under the sea today.,,,,
"	""	""
Spacewalk Day""	""03/18/2014""		""If given the opportunity to spacewalk today", don't turn it down,,,,
"	""	""
Poultry Day""	""03/19/2014""		""Eat more Chicken",,,,,
"	""	""
Great American Meat Out Day""	""03/20/2014""		""For one day a year try to avoid eating meat today.",,,,,
"	""	""
National Agriculture Day""	""03/20/2014""		""Remember to water that plant!",,,,,
"	""	""
National Quilting Day""	""03/20/2014""		""Why not work on that square of the family quilt you'd promised you'd have ready for last year?",,,,,
"	""	""
Flower Day""	""03/21/2014""		""Buy some flowers today for someone special",,,,,
"	""	""
National Goof-off Day""	""03/22/2014""		""""	""""	""""",,,,,
"World Water Day	""03/22/2014""		""Today is to remind everybody of the extreme importance of water for maintaining the environment and increasing development in human societies",,,,,
"	""	""
Toast Day""	""03/23/2014""		""You know what is on the menu today",,,,,
"	""	""
Harry Houdini Day""	""03/24/2014""		""Spend some time and learn a magic trick today.",,,,,
"	""	""
Make-up your own holiday day""	""03/26/2014""		""This is your chance to make-up any holiday you want",,,,,
"	""	""
Spinach Festival Day""	""03/26/2014""		""Eat some spinach today and watch your muscles grow!",,,,,
"	""	""
Something On A Stick Day""	""03/28/2014""		""Put something on a stick", or eat something off of one... either way it better be stick related today!,,,,
"	""	""
Doctor's Day""	""03/30/2014""		""Apple a day keeps the doctor away - except today",,,,,
"	""	""
National Hot Dog Day""	""03/30/2014""		""There are hundreds of flavours and styles", eat at least one today,,,,
"	""	""
Bunsen Burner Day""	""03/31/2014""		""Careful not to burn yourself",,,,,
"	""	""
Oranges and Lemon Day""	""03/31/2014""		""""	""""	""""",,,,,
"National Peanut Butter and Jelly Day	""04/02/2014""		""Pack your lunch today", but make sure that it is Peanut Butter and Jelly Sandwich.,,,,
"	""	""
National Find-A-Rainbow Day""	""04/03/2014""		""Then find the pot of gold at the end",,,,,
"	""	""
National Reading a Roadmap Day""	""04/04/2014""		""Practice reading a road map today", find out which was is north and plot your journey,,,,
"	""	""
National Repot your Plant Day""	""04/04/2014""		""Your plants keep growing", give them a bigger home today,,,,
"	""	""
Go For Broke Day""	""04/05/2014""		""This might be your last chance... make it count!",,,,,
"	""	""
National Workplace Napping Day""	""04/05/2014""		""Eat your lunch", then tuck-in for a nice afternoon nap,,,,
"	""	""
Stop the Clocks Day""	""04/05/2014""		""Imagine if time stood still today",,,,,
"	""	""
Tartan Day""	""04/06/2014""		""Join the tartan army and wear some plaid",,,,,
"	""	""
No Housework Day""	""04/07/2014""		""Skip making the bed and doing dishes", because today is no housework day!,,,,
"	""	""
World Health Day""	""04/07/2014""		""""	""""	""""",,,,,
"International Bird Day	""04/08/2014""		""""	""""	""""",,,,,
"International Feng Shui Awareness Day	""04/08/2014""		""be aware of the wood", metal, fire, earth, and wind elements around, it is good chi
"	""	""
National Empanada Day""	""04/08/2014""		""""	""""	""""",,,,,
"Name Yourself Day	""04/09/2014""		""If you could give yourself a name", what would it be?,,,,
"	""	""
Golfers Day""	""04/10/2014""		""Play around of 9 or even 18",,,,,
"	""	""
Barbershop Quartet Day""	""04/11/2014""		""Find three friends and start singing acapella",,,,,
"	""	""
Dandelion Day""	""04/11/2014""		""""	""""	""""",,,,,
"National Cheese Fondue Day	""04/11/2014""		""careful", it's HOT!,,,,
"	""	""
Look Up At The Sky Day""	""04/12/2014""		""Stare up at the sky", ponder why it is blue, and see how many clouds look like animals today,,,
"	""	""
Yuri's Night""	""04/12/2014""		""Today marks the anniversary of the dawn of a new era. Major Yuri Alexeyevich Gagarin was fired from the Baikonur launch pad in Kazakhstan", Soviet central Asia and was the first man in outer space.,,,,
"	""	""
Blame Somebody Else Day""	""04/13/2014""		""A super excuse which your colleagues/ pals are gonna love.",,,,,
"	""	""
National Glazed Ham Day""	""04/15/2014""		""Not just any ham", Glazed ham!,,,,
"	""	""
Rubber Eraser Day""	""04/15/2014""		""Be glad your pencil has an eraser", use it proudly today,,,,
"	""	""
International Jugglers Day""	""04/18/2014""		""Learn to juggle", or if you know how then teach someone,,,,
"	""	""
Look-Alike Day""	""04/18/2014""		""Beware of dopplegangers",,,,,
"	""	""
National Hanging Out Day""	""04/19/2014""		""Save money and energy by hanging your laundry on a line today",,,,,
"	""	""
Look Alike Day""	""04/20/2014""		""Beware of dopplergangers!",,,,,
"	""	""
Kindergarten Day""	""04/21/2014""		""If you are in Kindergarten", today is your special day,,,,
"	""	""
Earth Day""	""04/22/2014""		""Respect and learn more about your earth today", it's the only one you got,,,,
"	""	""
Laboratory Day""	""04/23/2014""		""A Mad scientists Favourite Day",,,,,
"	""	""
24 Hour Comics Day""	""04/24/2014""		""A day to not only celebrate", but to engage in the creation of comics. Try to create your own full 24 page comic book in 24 consecutive hours.,,,,
"	""	""
Astronomy Day""	""04/24/2014""		""It should be called Astronomy Night", have a look up at the stars tonight,,,,
"	""	""
Plumber's Day""	""04/24/2014""		""If you are a plumber", today is your special day,,,,
"	""	""
World Penguin Day""	""04/25/2014""		""Today is dedicated to our fine feathered swimming friends", the penguin,,,,
"	""	""
Landscape Architecture Day""	""04/26/2014""		""Today in 1822 Frederick Law Olmsted was born", he is the father of landscape architecture,,,,
"	""	""
National Pretzel Day""	""04/26/2014""		""Eat your heart out on pretzels", but be sure not to choke.,,,,
"	""	""
Shuffleboard Day""	""04/26/2014""		""Get out and play a round of Shuffleboard today",,,,,
"	""	""
World Tapir Day""	""04/27/2014""		""""	""""	""""",,,,,
"Write an Old Friend Today Day	""04/27/2014""		""Compose and eMail or letter to someone you haven't talked to in awhile",,,,,
"	""	""
Great Poetry Reading Day""	""04/28/2014""		""Why not read some poetry",,,,,
"	""	""
Santa Fe Trail Day""	""04/28/2014""		""""	""""	""""",,,,,
"Hairstyle Appreciation Day	""04/30/2014""		""Tell someone their hairstyle looks great",,,,,
"	""	""
Save a Rhino Day""	""05/01/2014""		""If you see a rhino in need", save its life and it will grant you three wishes,,,,
"	""	""
Roberts Rule of Order Day""	""05/02/2014""		""I second that motion",,,,,
"	""	""
Space Day""	""05/02/2014""		""Learn something about outerspace today",,,,,
"	""	""
Kite Day""	""05/04/2014""		""Get outside and fly a kite today - weather pending!",,,,,
"	""	""
National Weather Observer's Day""	""05/04/2014""		""""	""""	""""",,,,,
"Cinco de Mustache	""05/05/2014""		""Grow the best Mustache posible and compete with your friends for their adoration.",,,,,
"	""	""
National Hoagie Day""	""05/05/2014""		""Stuff yourself silly with a good ol'fashion Hoagie Roll.",,,,,
"	""	""
Nurses' Day""	""05/06/2014""		""""	""""	""""",,,,,
"International Tuba Day	""05/07/2014""		""Listen to some Polka music and enjoy the sounds of one of the biggest brass instruments",,,,,
"	""	""
National Teacher Day""	""05/08/2014""		""""	""""	""""",,,,,
"No Socks Day	""05/08/2014""		""Put on some sandles and go sockless today.",,,,,
"	""	""
Lost Sock Memorial Day""	""05/09/2014""		""Take a moment of silence for all the lost socks and their loved ones.",,,,,
"	""	""
Golden Spike Day""	""05/10/2014""		""Think about a world without a transcontinental railroad",,,,,
"	""	""
Eat What You Want Day""	""05/11/2014""		""Better than meat day and vegetarian day combined... eat what ever you want today",,,,,
"	""	""
Another Kite Day""	""05/12/2014""		""""	""""	""""",,,,,
"Limerick Day	""05/12/2014""		""""	""""	""""",,,,,
"National Chocolate Chip Day	""05/15/2014""		""Put chocolate chips in everything today", your cookies, coffee, everything,,
"	""	""
National Receptionists Day""	""05/15/2014""		""Be extra nice to your receptionist today",,,,,
"	""	""
Straw Hat Day""	""05/15/2014""		""Break out the straw hats today and wear them with pride",,,,,
"	""	""
National Sea Monkey Day""	""05/16/2014""		""Order some Sea Monkeys and watch them grow",,,,,
"	""	""
International Museum Day""	""05/18/2014""		""Take the day off and go to at least one museum today.",,,,,
"	""	""
Rooster Day""	""05/18/2014""		""""	""""	""""",,,,,
"Bike to Work Day	""05/19/2014""		""Get some exercise and bike to work today",,,,,
"	""	""
Weights and Measures Day""	""05/20/2014""		""Metric or Imperial", which are you?,,,,
"	""	""
National Bike to Work Day""	""05/21/2014""		""It's a nice day", why not ride your bike to work and enjoy the fresh-air,,,,
"	""	""
Buy-A-Musical Instrument Day""	""05/22/2014""		""Buy one", then more importantly learn how to play it,,,,
"	""	""
Bifocals Invented""	""05/23/2014""		""""	""""	""""",,,,,
"World Turtle Day	""05/23/2014""		""The worlds loves a turtle",,,,,
"	""	""
National Tap Dancing Day""	""05/25/2014""		""""	""""	""""",,,,,
"Towel Day	""05/25/2014""		""You are invited to join your fellow hitchhikers in mourning the loss of the late great one. Join in on towel day to show your appreciation for the humour and insight that Douglas Adams brought to all our lives.",,,,,
"	""	""
National Grape Popsicle Day""	""05/27/2014""		""""	""""	""""",,,,,
"National Hamburger Day	""05/28/2014""		""Eat as many burgers as you can today.",,,,,
"	""	""
Whale Day""	""05/28/2014""		""It's a whale of a day today",,,,,
"	""	""
End Of The Middle Ages Day""	""05/29/2014""		""The middle ages ended long ago", and we're glad they did, so lets celebrate,,,
"	""	""
International Jazz Day""	""05/29/2014""		""""	""""	""""",,,,,
"Speak in Complete Sentences Day	""05/31/2014""		""Avoid contractions and elliptical sentences today",,,,,
"	""	""
Doughnut Day""	""06/01/2014""		""Stuff your face silly with Doughnuts today",,,,,
"	""	""
National Rocky Road Day""	""06/02/2014""		""""	""""	""""",,,,,
"National Tailors Day	""06/02/2014""		""""	""""	""""",,,,,
"Egg Day	""06/03/2014""		""Start your day with a healthy breakfast of Eggs today",,,,,
"	""	""
National Doughnut Day""	""06/03/2014""		""Tigertails or holes", powdered or chocolate, get yourself a doughnut today,,,
"	""	""
Another Cheese Day""	""06/04/2014""		""""	""""	""""",,,,,
"Another National Frozen Yogurt Day	""06/04/2014""		""""	""""	""""",,,,,
"Clean Air Day	""06/04/2014""		""Do what you can to keep the air clean today",,,,,
"	""	""
National Gingerbread Day""	""06/05/2014""		""""	""""	""""",,,,,
"National Applesauce Cake Day	""06/06/2014""		""""	""""	""""",,,,,
"National Yo-Yo Day	""06/06/2014""		""Donald F. Duncan was the man who popularized the Yo-Yo. Today", his birthday was honored by converting into National Yo-Yo Day. Try your skill at walking the dog or shooting the moon,,,,
"	""	""
Teacher's Day""	""06/06/2014""		""Bring in an apple for your teacher",,,,,
"	""	""
Daniel Boone Day""	""06/07/2014""		""Put on those 'coon skin caps",,,,,
"	""	""
National Chocolate Ice Cream Day""	""06/07/2014""		""""	""""	""""",,,,,
"National Jelly-Filled Doughnut Day	""06/08/2014""		""""	""""	""""",,,,,
"National Taco Day	""06/08/2014""		""Have yourself a mexican sandwich eating contest and stuff your face full of tacos",,,,,
"	""	""
Swimming Pool Day""	""06/11/2014""		""Today is the day to head to the pool",,,,,
"	""	""
Magic Day""	""06/12/2014""		""Learn a Magic trick today",,,,,
"	""	""
National Peanut Butter Cookie Day""	""06/12/2014""		""""	""""	""""",,,,,
"International Puzzle Day	""06/13/2014""		""Why not start a puzzle today? 500", 1000 or more pieces - it will be fun,,,,
"	""	""
National Juggling Day""	""06/13/2014""		""NOT to be confused with international Juggling day",,,,,
"	""	""
National Lobster Day""	""06/13/2014""		""""	""""	""""",,,,,
"Family History Day	""06/14/2014""		""Learn a little about your genealogy",,,,,
"	""	""
Pop Goes the Weasel Day""	""06/14/2014""		""""	""""	""""",,,,,
"Fly a Kite Day	""06/15/2014""		""""	""""	""""",,,,,
"Bloomsday	""06/16/2014""		""Stephen Dedalus and Leopold Bloom each took their epic journeys through Dublin in James Joyce's Ulysses today",,,,,
"	""	""
Fudge Day""	""06/16/2014""		""Let this day revolve around fudge",,,,,
"	""	""
Cow Day""	""06/18/2014""		""Moooooooo!",,,,,
"	""	""
International Picnic Day""	""06/18/2014""		""Get outside and have a picnic today",,,,,
"	""	""
Juneteenth""	""06/19/2014""		""Juneteenth is the oldest nationally celebrated commemoration of the ending of slavery in the United States.",,,,,
"	""	""
Ice Cream Soda Day""	""06/20/2014""		""Get a tall glass filled with Ice Cream and Soda and relax.",,,,,
"	""	""
Monkey Day""	""06/21/2014""		""""	""""	""""",,,,,
"Log Cabin Day	""06/25/2014""		""If you live in a log cabin", then today's your day,,,,
"	""	""
National Chocolate Pudding Day""	""06/26/2014""		""""	""""	""""",,,,,
"National Columnists Day	""06/27/2014""		""Write your own letter to the editor", because today everyone can be a columnist.,,,,
"	""	""
National Orange Blossom Day""	""06/27/2014""		""""	""""	""""",,,,,
"Another Hamburger Day	""06/28/2014""		""""	""""	""""",,,,,
"National Tapioca Day	""06/28/2014""		""""	""""	""""",,,,,
"Paul Bunyan Day	""06/28/2014""		""Paint your Ox Blue and can her Babe", for today is one of America's greatest Folk Legend's day.,,,,
"	""	""
Camera Day""	""06/29/2014""		""Bring your camera with you today and take some photos of things you normally wouldn't.",,,,,
"	""	""
Rocket Day""	""06/29/2014""		""""	""""	""""",,,,,
"Build A Scarecrow Day	""07/01/2014""		""Get some old clothes", some straw, and build yourself a Scarecrow,,,
"	""	""
Stay Out Of The Sun Day""	""07/03/2014""		""Do just as it says", don't go outdoors, stay out of the sun.,,,
"	""	""
National Country Music Day""	""07/04/2014""		""If you like it or not", be sure to listen to some country music today.,,,,
"	""	""
National Fried Chicken Day""	""07/06/2014""		""Eat Fried Chicken like it was going out of style today",,,,,
"	""	""
National Strawberry Sundae Day""	""07/07/2014""		""""	""""	""""",,,,,
"Video Games Day	""07/08/2014""		""Get some tokens and head down to the local arcade.",,,,,
"	""	""
National Sugar Cookie Day""	""07/09/2014""		""""	""""	""""",,,,,
"Nikola Tesla Day	""07/10/2014""		""Warm-up those Tesla Coils today and generate some lightning in memory of a great man.",,,,,
"	""	""
National Slurpee Day""	""07/11/2014""		""Free Slurpees today!",,,,,
"	""	""
International Town Criers Day""	""07/12/2014""		""Hear Ye", Hear Ye, today is the day for all town criers,,,
"	""	""
National Pecan Pie Day""	""07/12/2014""		""""	""""	""""",,,,,
"Embrace your geekness Day	""07/13/2014""		""G0 ah3ad", u know u want 2,,,,
"	""	""
Shark Awareness Day""	""07/17/2014""		""Be on the lookout for the dreaded land-shark", they strike today,,,,
"	""	""
National Ice Cream Day""	""07/18/2014""		""Have a big bowl of your favorite Ice Cream today.",,,,,
"	""	""
National Tug-Of-War Tournament Day""	""07/21/2014""		""Call-up some friends and get pullin' to see which team wins",,,,,
"	""	""
Ice Cream Cone Day""	""07/23/2014""		""""	""""	""""",,,,,
"National Vanilla Ice Cream Day	""07/23/2014""		""Less than a week after national ice cream day", have another bowl, but make sure this one's Vanilla.,,,
"	""	""
Merry-Go-Round Day""	""07/25/2014""		""Get out to the fair and play on the merry-go-round today",,,,,
"	""	""
Sysadmin Day""	""07/25/2014""		""Give something back to the system administrators and find a way to show your thanks",,,,,
"	""	""
National Drive-Thru Day""	""07/28/2014""		""Take a spin to your favourite fast-food restaurant and use the drive-thru", that's what its for,,,,
"	""	""
National Milk Chocolate Day""	""07/28/2014""		""""	""""	""""",,,,,
"National Cheesecake Day	""07/30/2014""		""Have some cheesecake today", but be sure it's plain, there are several other speciality cheesecake related holidays,,,
"	""	""
National Watermelon Day""	""08/03/2014""		""Eat a watermelon and see how far you can spit the seeds.",,,,,
"	""	""
National Mustard Day""	""08/05/2014""		""Be sure to put mustard on everything you eat today",,,,,
"	""	""
Hamburger Day""	""08/07/2014""		""quarter-pounder", with or without cheese, what ever suits your fancy!,,,
"	""	""
Sea Serpent Day""	""08/07/2014""		""Today honours all Sea Serpents past and present",,,,,
"	""	""
Sneak Some Zucchini onto Your Neighbors’ Porch Day""	""08/08/2014""		""If you have extra Zucchini here is your day to unload it.",,,,,
"	""	""
National Polka Festival""	""08/09/2014""		""Break out that Polka music and have a listen",,,,,
"	""	""
Bratwurst Festival""	""08/16/2014""		""Hold your own Bratwurst festival around the BBQ",,,,,
"	""	""
Watermelon Day""	""08/16/2014""		""Eat some watermelon and see how far you can spit the seeds!",,,,,
"	""	""
National Thriftshop Day""	""08/17/2014""		""Either donate or buy something from a thriftshop today.",,,,,
"	""	""
Sandcastle Day""	""08/17/2014""		""Get out to the beach and build a sandcastle",,,,,
"	""	""
Potato Day""	""08/19/2014""		""Treasure the Potato. Maybe have some for dinner or make a potato clock?",,,,,
"	""	""
Root Beer Float Day""	""08/19/2014""		""Get some vanilla ice cream and drink yourself silly",,,,,
"	""	""
National Radio Day""	""08/20/2014""		""Turn off that TV and listen to some Radio.",,,,,
"	""	""
National Spongecake Day""	""08/23/2014""		""""	""""	""""",,,,,
"Soy Bean Day	""08/25/2014""		""Soybeans are the only bean that contain the same proteins as meat - plus immune system builders.",,,,,
"	""	""
International Kitchen Garden Day""	""08/27/2014""		""Kitchen Garden Day is an annual", decentralized celebration of food produced on a human-scale. It is an opportunity for people around the world to gather in their gardens with members of their local community to celebrate fresh food.,,,,
"	""	""
Pony Express Day""	""08/29/2014""		""""	""""	""""",,,,,
"National Toasted Marshmallow Day	""08/30/2014""		""Find a fire and toast S'Mores",,,,,
"	""	""
Cherry Popover Day""	""09/01/2014""		""""	""""	""""",,,,,
"National Beheading Day	""09/02/2014""		""Hopefully", today is NOT your day,,,,
"	""	""
Skyscraper Day""	""09/03/2014""		""Go to the top floor of the highest Skyscraper you can and enjoy the view",,,,,
"	""	""
Newspaper Carrier Day""	""09/04/2014""		""Do you ever think how early they get up to deliver you morning paper?",,,,,
"	""	""
Be Late for Something Day""	""09/05/2014""		""Punctuality is over-rated today",,,,,
"	""	""
Read A Book Day""	""09/06/2014""		""Pick-up a short book and read or read it to someone else.",,,,,
"	""	""
National Thylacine Day""	""09/07/2014""		""The last captive thylacine", possibly the last in the world, died in the Hobart Zoo, Australia on September 7,1936,
"	""	""
Neither Snow Nor Rain Day""	""09/07/2014""		""Today is a day to celebrate good weather",,,,,
"	""	""
International Literacy Day""	""09/08/2014""		""Why not read a book today? or teach someone to read.",,,,,
"	""	""
Teddy Bear Day""	""09/09/2014""		""""	""""	""""",,,,,
"Swap Ideas Day	""09/10/2014""		""Why not trade ideas with someone else today", you'll be glad you did,,,,
"	""	""
National Hot Cross Buns Day""	""09/11/2014""		""""	""""	""""",,,,,
"National Neighborhood Day	""09/11/2014""		""""	""""	""""",,,,,
"National Grandparents Day	""09/12/2014""		""""	""""	""""",,,,,
"Defy Superstition Day	""09/13/2014""		""Test your luck and walk under a ladder", or do something equally foolish today,,,,
"	""	""
Fortune Cookie Day""	""09/13/2014""		""Today you MUST believe the fortune exactly",,,,,
"	""	""
Helicopter Day""	""09/13/2014""		""Learn alit about the helicopter today", you'll be glad you did.,,,,
"	""	""
National Cream-Filled Doughnut Day""	""09/14/2014""		""""	""""	""""",,,,,
